id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.973364,,,6060-086,MONSANTO IDN,-7.10996865404496,40.05696938099098
pt.ine.add.PTCONT.973365,,,6060-086,MONSANTO IDN,-7.1067765455278735,40.05725635040169
pt.ine.add.PTCONT.950730,,,6060-095,MONSANTO IDN,-7.0637735540165805,40.05967721418756
pt.ine.add.PTCONT.950784,QTA DOS VIEIROS,,6060-088,MONSANTO IDN,-7.026170313490174,40.00561308985222
pt.ine.add.PTCONT.950781,R DOS GREGÓRIOS,,6060-088,MONSANTO IDN,-7.10888705145692,40.047800856977396
pt.ine.add.PTCONT.950782,,,6060-088,MONSANTO IDN,-7.090340461611235,40.04526686766211
pt.ine.add.PTCONT.950783,ESTR MUNICIPAL,,6060-087,MONSANTO IDN,-7.104972162913056,40.04006615569108
pt.ine.add.PTCONT.950785,R DA AZINHEIRA,11,6060-091,MONSANTO IDN,-7.113494061291007,40.039033740560576
pt.ine.add.PTCONT.950841,R DE STO ANTÓNIO,15,6060-091,MONSANTO IDN,-7.11606144380452,40.03893922924869
pt.ine.add.PTCONT.950842,LG DA BARREIRA DO RELÓGIO,,6060-091,MONSANTO IDN,-7.1157199616122435,40.03905330774795
pt.ine.add.PTCONT.950843,R DO LAGAR DE JUNHO,6,6060-089,MONSANTO IDN,-7.106799409823634,40.0354173061684
pt.ine.add.PTCONT.950844,R DO ESPÍRITO SANTO,31,6060-621,OLEDO,-7.301652523667579,39.973595028414564
pt.ine.add.PTCONT.950845,R DO ROSSIO,6,6060-621,OLEDO,-7.3005509706998994,39.97369519437438
pt.ine.add.PTCONT.950846,R DIREITA,,6060-621,OLEDO,-7.299615468822499,39.97361642258026
pt.ine.add.PTCONT.950902,R CIMEIRA,3,6060-313,PENHA GARCIA,-7.017156243983232,40.04350435383831
pt.ine.add.PTCONT.950903,R DA PAZ,9,6060-314,PENHA GARCIA,-7.01849358903374,40.04340915774311
pt.ine.add.PTCONT.950904,R DO MIRANTE,5,6060-306,PENHA GARCIA,-7.0165388433961,40.04270634667778
pt.ine.add.PTCONT.950905,R DO CASTELO,14,6060-307,PENHA GARCIA,-7.016300452903757,40.04281166415051
pt.ine.add.PTCONT.950906,R DO MIRANTE,10,6060-306,PENHA GARCIA,-7.016270008356956,40.0425231839821
pt.ine.add.PTCONT.950907,R DO PELOURINHO,20,6060-305,PENHA GARCIA,-7.01559345088854,40.04233654341915
pt.ine.add.PTCONT.950908,R DOS BARREIROS,6,6060-324,PENHA GARCIA,-7.016703326223357,40.03966350421688
pt.ine.add.PTCONT.950940,R DO MURINHO,2,6060-318,PENHA GARCIA,-7.0205627161254105,40.042987759754894
pt.ine.add.PTCONT.950941,AV 25 DE ABRIL,20,6060-344,PENHA GARCIA,-7.021231941746828,40.0414631919049
pt.ine.add.PTCONT.950942,R NOVA,,6060-376,PENHA GARCIA,-7.0173495593185695,40.03955265356252
pt.ine.add.PTCONT.950943,TV DOS ÁLAMOS,9,6060-363,PENHA GARCIA,-7.01662594416157,40.037942643084854
pt.ine.add.PTCONT.950985,R ANTÓNIO PEREIRA GARDETE,,6060-402,ROSMANINHAL,-7.198514420113978,39.738359717735186
pt.ine.add.PTCONT.950986,R NASCENTE,,6060-402,ROSMANINHAL,-7.196875787088628,39.738760806584914
pt.ine.add.PTCONT.950987,R ANTÓNIO PEREIRA GARDETE,,6060-402,ROSMANINHAL,-7.198686126019697,39.73687504636084
pt.ine.add.PTCONT.950988,R DA PRAIA,,6060-402,ROSMANINHAL,-7.199409794856207,39.736844843954195
pt.ine.add.PTCONT.950989,EM 1284,,6060-401,ROSMANINHAL,-7.19175883986558,39.722147658526076
pt.ine.add.PTCONT.965573,,,6060-097,MONSANTO IDN,-7.042657777966714,40.050591623055865
pt.ine.add.PTCONT.951045,R DO LAGAR,26,6060-413,ROSMANINHAL,-7.086456188687032,39.731243066103545
pt.ine.add.PTCONT.951046,R DO ESPÍRITO SANTO,1,6060-423,ROSMANINHAL,-7.088553006153187,39.729109437426146
pt.ine.add.PTCONT.951047,R DIREITA,17,6060-449,ROSMANINHAL,-7.084455573461215,39.7285591335207
pt.ine.add.PTCONT.951105,TV DA SANTA,9,6060-432,ROSMANINHAL,-7.090458210897396,39.72807282304925
pt.ine.add.PTCONT.951106,R DA SANTA,72,6060-419,ROSMANINHAL,-7.091245418871084,39.727692618055656
pt.ine.add.PTCONT.951107,R DO POÇO,13,6060-443,ROSMANINHAL,-7.088889133196491,39.726158380012606
pt.ine.add.PTCONT.951154,R ENG ALFREDO RESENDE,67,6060-011,ALCAFOZES,-7.122702202537736,39.95013551604884
pt.ine.add.PTCONT.951155,R DE STO ANTÓNIO,70,6060-511,SÃO MIGUEL DE ACHA,-7.322507566903038,40.01656650728058
pt.ine.add.PTCONT.951223,LG DA IGREJA,2,6060-021,ALDEIA DE SANTA MARGARIDA,-7.275412973049322,40.06396810228758
pt.ine.add.PTCONT.951224,AV DR FRANCISCO ROLÃO PRETO,37,6060-021,ALDEIA DE SANTA MARGARIDA,-7.275232793986727,40.063381383080646
pt.ine.add.PTCONT.951225,R DAS EIRAS,12,6060-021,ALDEIA DE SANTA MARGARIDA,-7.274818672552571,40.06275690686481
pt.ine.add.PTCONT.951226,R DAS LAGES,19,6060-511,SÃO MIGUEL DE ACHA,-7.323399708948913,40.016401630152835
pt.ine.add.PTCONT.951227,R DO ADRO,30,6060-511,SÃO MIGUEL DE ACHA,-7.322898432791237,40.01619999411965
pt.ine.add.PTCONT.951271,TV DE VALVERDE,35,6060-159,IDANHA-A-NOVA,-7.238190333633898,39.926434896111935
pt.ine.add.PTCONT.951272,EN 354,,6060-146,IDANHA-A-NOVA,-7.2354163297478085,39.9005838532911
pt.ine.add.PTCONT.951273,R DO PENDRICÃO,125,6060-167,IDANHA-A-NOVA,-7.241245022333526,39.92000104293315
pt.ine.add.PTCONT.951274,R DOS COTOVELOS,28,6060-148,IDANHA-A-NOVA,-7.238323143919497,39.920726039777385
pt.ine.add.PTCONT.951275,TV DA ENCOSTA DO CASTELO,1,6060-521,SEGURA,-6.980741111739684,39.825725581106305
pt.ine.add.PTCONT.951276,TV DA PRAÇA,4,6060-521,SEGURA,-6.978259473063679,39.8267456153678
pt.ine.add.PTCONT.951277,R DO SALÃO,4,6060-531,TOULÕES,-7.036595544965416,39.923415722995024
pt.ine.add.PTCONT.951331,R DR JOSÉ ESTEVES,18,6060-166,IDANHA-A-NOVA,-7.244024757117605,39.923931050221036
pt.ine.add.PTCONT.951332,R DA CARREIRA,97,6060-183,IDANHA-A-NOVA,-7.240498390803296,39.92075181223461
pt.ine.add.PTCONT.951333,LG DE STO ANTÓNIO,2,6060-171,IDANHA-A-NOVA,-7.2409321842524115,39.921574708481806
pt.ine.add.PTCONT.951334,R DA GUARITA,37,6060-169,IDANHA-A-NOVA,-7.240971128119074,39.92127780596334
pt.ine.add.PTCONT.951335,AV MOUZINHO DE ALBUQUERQUE,60,6060-179,IDANHA-A-NOVA,-7.238556489684397,39.92436631428535
pt.ine.add.PTCONT.951336,R NOVA,27,6060-531,TOULÕES,-7.037654718647131,39.92301145818056
pt.ine.add.PTCONT.951337,R DO RIBEIRINHO,6,6060-531,TOULÕES,-7.033683576295757,39.92337914037105
pt.ine.add.PTCONT.951338,R DO CENTRO,7,6060-531,TOULÕES,-7.034877887251043,39.92257091129611
pt.ine.add.PTCONT.951339,R DE STO ANTÓNIO,24,6060-531,TOULÕES,-7.034487775376676,39.92282839007629
pt.ine.add.PTCONT.951340,R DA SENHORA DAS CABEÇAS,7,6060-531,TOULÕES,-7.035048811266265,39.92212222897798
pt.ine.add.PTCONT.951341,R DAS FLORES,3,6060-531,TOULÕES,-7.034608142476171,39.9218838980059
pt.ine.add.PTCONT.951342,R DAS PARREIRAS,6,6060-531,TOULÕES,-7.035104365893572,39.921573387556634
pt.ine.add.PTCONT.951391,TV DE S JOÃO,11,6060-115,IDANHA-A-NOVA,-7.236584897092626,39.92396382286888
pt.ine.add.PTCONT.951392,R DA SENHORA DO ALMORTÃO,1,6060-112,IDANHA-A-NOVA,-7.2357169866854205,39.92145340669057
pt.ine.add.PTCONT.951393,LG DO ESPÍRITO SANTO,4,6060-041,IDANHA-A-VELHA,-7.142912471984494,39.99787960963609
pt.ine.add.PTCONT.951394,R DA AMOREIRA,7,6060-041,IDANHA-A-VELHA,-7.1440417833843535,39.99670947152407
pt.ine.add.PTCONT.951395,R DO CASTELO,18,6060-041,IDANHA-A-VELHA,-7.143575267749057,39.99576886843061
pt.ine.add.PTCONT.951396,R DO TRONCO,,6060-554,ZEBREIRA,-7.073509242923013,39.844577305037035
pt.ine.add.PTCONT.951397,R 5 DE OUTUBRO,23,6060-548,ZEBREIRA,-7.076571409534963,39.84298412665612
pt.ine.add.PTCONT.951456,AV JOAQUIM MORÃO LOPES DIAS,9,6060-266,LADOEIRO,-7.262927878341855,39.83882180201454
pt.ine.add.PTCONT.951457,R DE STO ANTÃO,17,6060-202,LADOEIRO,-7.261749146626781,39.834102677764406
pt.ine.add.PTCONT.951458,LG DA PRAÇA,11,6060-585,ZEBREIRA,-7.06452906332123,39.8435312679752
pt.ine.add.PTCONT.951459,R ENG JOÃO MAGRO ROMÃO,4,6060-559,ZEBREIRA,-7.06695398218573,39.84462531390606
pt.ine.add.PTCONT.951508,R D AFONSO HENRIQUES,13,6060-211,LADOEIRO,-7.261022363664983,39.833376715092086
pt.ine.add.PTCONT.951509,R GAGO COUTINHO,13,6060-223,LADOEIRO,-7.261640532618002,39.83345341055653
pt.ine.add.PTCONT.951510,R DO ALENTEJO,23,6060-226,LADOEIRO,-7.260785437690184,39.831789830252156
pt.ine.add.PTCONT.951511,R VICTOR PIRES FRANCO,3,6060-051,MEDELIM,-7.183624929221991,40.05044578620019
pt.ine.add.PTCONT.951512,R DA TULHA,2,6060-051,MEDELIM,-7.1835496551910625,40.04995885038341
pt.ine.add.PTCONT.951567,R DA TULHA,5,6060-051,MEDELIM,-7.183616835540061,40.050184548617636
pt.ine.add.PTCONT.951568,R DA LAMEIRA,10,6060-051,MEDELIM,-7.183954363252187,40.046972205178704
pt.ine.add.PTCONT.951601,R ENG ALFREDO RESENDE,52,6060-011,ALCAFOZES,-7.120960346402768,39.95002125444499
pt.ine.add.PTCONT.951617,QTA DA ERVIDEIRA,,6060-131,IDANHA-A-NOVA,-7.268594457481911,39.957889757403045
pt.ine.add.PTCONT.951645,BR ENG RESENDE,1,6060-072,MONFORTINHO,-6.88151478332923,39.99159588594715
pt.ine.add.PTCONT.951656,R DOS ALARES,4,6060-461,ROSMANINHAL,-7.174316822927744,39.702352922267714
pt.ine.add.PTCONT.951657,R DO TINTO,9,6060-165,IDANHA-A-NOVA,-7.2441897998593925,39.92202301706573
pt.ine.add.PTCONT.951671,LG DA DEVESINHA,3,6060-429,ROSMANINHAL,-7.0892614149670505,39.73008849484459
pt.ine.add.PTCONT.951697,BC DA CASTANHEIRA,,6060-087,MONSANTO IDN,-7.105812257387114,40.04342379545476
pt.ine.add.PTCONT.951698,R DE S SEBASTIÃO,1,6060-621,OLEDO,-7.300145671720782,39.972368389822975
pt.ine.add.PTCONT.951699,R D SANCHO I,13,6060-501,SALVATERRA DO EXTREMO,-6.913088383857278,39.881826031275565
pt.ine.add.PTCONT.951700,R DO ESPÍRITO SANTO,11,6060-423,ROSMANINHAL,-7.08690763583944,39.729157664562955
pt.ine.add.PTCONT.952335,R DO LAGAR DE JUNHO,24,6060-089,MONSANTO IDN,-7.1073757659344015,40.03370228446917
pt.ine.add.PTCONT.952337,TV DO ESPÍRITO SANTO,,6060-071,MONFORTINHO,-6.91712705998089,40.003763677323
pt.ine.add.PTCONT.952338,R DE S SEBASTIÃO,16,6060-093,MONSANTO IDN,-7.117581821747284,40.04544580948593
pt.ine.add.PTCONT.952339,R DE S SEBASTIÃO,1,6060-093,MONSANTO IDN,-7.117734360902087,40.04622165221416
pt.ine.add.PTCONT.952342,R DAS FLORES,31,6060-125,IDANHA-A-NOVA,-7.236227544570636,39.9226641776587
pt.ine.add.PTCONT.952343,R DO SACO,4,6060-071,MONFORTINHO,-6.914819033552517,40.00316306183783
pt.ine.add.PTCONT.952344,R DE S PEDRO,22,6060-085,MONSANTO IDN,-7.128959227337252,40.03031600334271
pt.ine.add.PTCONT.952345,HRD DA CACHOUÇA DE CIMA,,6060-190,IDANHA-A-NOVA,-7.255833222081291,39.973842693385635
pt.ine.add.PTCONT.952346,,,6060-095,MONSANTO IDN,-7.054158914914812,40.05547240054263
pt.ine.add.PTCONT.952348,R DE S PEDRO,55,6060-111,IDANHA-A-NOVA,-7.235421956067594,39.92075765128489
pt.ine.add.PTCONT.952349,BR DA CARICA,7,6060-085,MONSANTO IDN,-7.128500275270879,40.028060547148485
pt.ine.add.PTCONT.952352,R DE S LOURENÇO,4,6060-703,IDANHA-A-NOVA,-7.239112732451191,39.925667485850724
pt.ine.add.PTCONT.952355,R DE S FRANCISCO,52,6060-118,IDANHA-A-NOVA,-7.2393493943225735,39.92276033316232
pt.ine.add.PTCONT.952356,R DE S FRANCISCO,52,6060-118,IDANHA-A-NOVA,-7.2393493943225735,39.92276033316232
pt.ine.add.PTCONT.952358,AV DR FRANCISCO ROLÃO PRETO,7,6060-021,ALDEIA DE SANTA MARGARIDA,-7.273810584633098,40.06183082939365
pt.ine.add.PTCONT.952359,QTA DA LOMBA DA MOITA,,6060-716,IDANHA-A-NOVA,-7.132981621069675,39.89188329017744
pt.ine.add.PTCONT.952360,R BOTELHO,6,6060-091,MONSANTO IDN,-7.11289255682155,40.03929862224736
pt.ine.add.PTCONT.952363,TV DA FONTE NOVA,38,6060-154,IDANHA-A-NOVA,-7.238461589879137,39.92177181867822
pt.ine.add.PTCONT.952364,ESTR DE MONFORTINHO,27,6060-072,MONFORTINHO,-6.885124266910606,39.9978488356335
pt.ine.add.PTCONT.952365,R ANTÓNIO MORAIS,1,6060-087,MONSANTO IDN,-7.104781251175653,40.04341464909862
pt.ine.add.PTCONT.952366,R DA CARREIRA,45,6060-183,IDANHA-A-NOVA,-7.239266849559849,39.92101250859092
pt.ine.add.PTCONT.952367,AV DR SAMUEL DINIS,7,6060-072,MONFORTINHO,-6.881060165801768,39.9972556417198
pt.ine.add.PTCONT.952368,EN 239,,6060-086,MONSANTO IDN,-7.0980647788998805,40.054414045170546
pt.ine.add.PTCONT.952369,R SERRANA,9,6060-157,IDANHA-A-NOVA,-7.2400971168428585,39.92102791230592
pt.ine.add.PTCONT.952370,LG DA MISERICÓRDIA,,6060-091,MONSANTO IDN,-7.115387382034667,40.039356587121404
pt.ine.add.PTCONT.952373,R NOVA DE EXPANSÃO,12,6060-101,IDANHA-A-NOVA,-7.24303194322802,39.92562559005035
pt.ine.add.PTCONT.952374,R DA ZEBREIRA,1,6060-257,LADOEIRO,-7.259874115733082,39.833647272013124
pt.ine.add.PTCONT.952379,R DE S ROMÃO,10,6060-706,IDANHA-A-NOVA,-7.239389125645401,39.925102231130694
pt.ine.add.PTCONT.952380,R DO MERCADO NOVO,13,6060-093,MONSANTO IDN,-7.116383428026279,40.04723647488868
pt.ine.add.PTCONT.952381,R JOAQUIM DIAS RATO,19 B,6060-021,ALDEIA DE SANTA MARGARIDA,-7.276257905727626,40.06669414331372
pt.ine.add.PTCONT.952382,R DO LUGAR,58,6060-021,ALDEIA DE SANTA MARGARIDA,-7.279510424520552,40.065304224956414
pt.ine.add.PTCONT.952481,R DO CASTELO,28,6060-069,PROENÇA-A-VELHA,-7.239390372754392,40.024754122262685
pt.ine.add.PTCONT.952482,R DE S JOÃO,,6060-501,SALVATERRA DO EXTREMO,-6.913899138963452,39.881591395466295
pt.ine.add.PTCONT.952483,R NOVA DE S PEDRO,65,6060-440,ROSMANINHAL,-7.087426011866664,39.72495637162117
pt.ine.add.PTCONT.952484,R DO CASTELO,21,6060-581,ZEBREIRA,-7.067436410795649,39.84516111031451
pt.ine.add.PTCONT.952485,R JOÃO TOMAZ DIAS BOAVIDA,10,6060-566,ZEBREIRA,-7.065353029768314,39.84389009561926
pt.ine.add.PTCONT.952491,R DE STO ANTÓNIO,38,6060-069,PROENÇA-A-VELHA,-7.242292448513567,40.024992612406116
pt.ine.add.PTCONT.952492,R DAS AMOREIRAS,8,6060-447,ROSMANINHAL,-7.085431946316601,39.728784101812174
pt.ine.add.PTCONT.952493,BR CHÃO DO CASTANHEIRO,5,6060-511,SÃO MIGUEL DE ACHA,-7.321956278173509,40.01465337418185
pt.ine.add.PTCONT.952497,TV DAS FIGUEIRAS,4,6060-301,PENHA GARCIA,-7.018401838330664,40.04040933148633
pt.ine.add.PTCONT.952498,R DIREITA,3,6060-345,PENHA GARCIA,-7.017679291335301,40.04088869262899
pt.ine.add.PTCONT.952499,R DE STO ANTÓNIO,18,6060-069,PROENÇA-A-VELHA,-7.241498289141401,40.02480638496582
pt.ine.add.PTCONT.952500,R DOS OLIVAIS,30,6060-511,SÃO MIGUEL DE ACHA,-7.321672914668829,40.01682184024113
pt.ine.add.PTCONT.952502,R DIREITA,116,6060-621,OLEDO,-7.2979456194044845,39.974243834026055
pt.ine.add.PTCONT.952503,R DE S PEDRO,7,6060-440,ROSMANINHAL,-7.085193988106174,39.72832263046556
pt.ine.add.PTCONT.952504,TV DO ESPÍRITO SANTO,41,6060-565,ZEBREIRA,-7.066145471158842,39.84326695608506
pt.ine.add.PTCONT.952507,R DE S SEBASTIÃO,,6060-621,OLEDO,-7.299604202776936,39.971653017624064
pt.ine.add.PTCONT.952508,R DO CHAFARIZ,,6060-377,PENHA GARCIA,-7.017552848291458,40.038581980387036
pt.ine.add.PTCONT.952511,R DOS OLIVAIS,9,6060-511,SÃO MIGUEL DE ACHA,-7.321794515270797,40.01644443903955
pt.ine.add.PTCONT.952512,R NOVA DA PRENSA,7,6060-552,ZEBREIRA,-7.070145664260895,39.84449249430682
pt.ine.add.PTCONT.952515,BC DA ENCOSTA DO CASTELO,19,6060-521,SEGURA,-6.979444585012551,39.82642417985142
pt.ine.add.PTCONT.952516,R DA BOAVISTA,34,6060-531,TOULÕES,-7.033929546245399,39.921895478651514
pt.ine.add.PTCONT.952519,BR DO ROLO,4,6060-531,TOULÕES,-7.035456747856089,39.92074816972224
pt.ine.add.PTCONT.952521,,,6060-350,PENHA GARCIA,-7.027837338906685,40.04020253625048
pt.ine.add.PTCONT.952522,R DO COVÃO,5 C,6060-319,PENHA GARCIA,-7.019740437067616,40.040953547324584
pt.ine.add.PTCONT.952523,R PROF JOÃO MIRANDA,3,6060-521,SEGURA,-6.977610299405681,39.82645095476862
pt.ine.add.PTCONT.952524,TV DO ROSSIO,24,6060-511,SÃO MIGUEL DE ACHA,-7.324257986519795,40.01612843757343
pt.ine.add.PTCONT.952525,BR DE STA CATARINA,,6060-511,SÃO MIGUEL DE ACHA,-7.327405457126895,40.011431208856635
pt.ine.add.PTCONT.952529,R DA COBEIRA,10,6060-461,ROSMANINHAL,-7.176461243407493,39.701578045225794
pt.ine.add.PTCONT.952530,R NOVA,44,6060-521,SEGURA,-6.980212872812303,39.82588244319812
pt.ine.add.PTCONT.952531,R DOS COMBATENTES,16 A,6060-600,ZEBREIRA,-7.070176299609946,39.846294006841454
pt.ine.add.PTCONT.952535,R DA FONTAINHA,10,6060-069,PROENÇA-A-VELHA,-7.24150530269222,40.026067274524145
pt.ine.add.PTCONT.952537,R DA PAZ,11,6060-314,PENHA GARCIA,-7.018575158633698,40.04343695997303
pt.ine.add.PTCONT.952538,R DA PAZ,7,6060-314,PENHA GARCIA,-7.018400303860951,40.04338124273512
pt.ine.add.PTCONT.952539,EN 233,101,6060-511,SÃO MIGUEL DE ACHA,-7.321303568454066,40.01635994663453
pt.ine.add.PTCONT.952540,R DA FONTE,16,6060-531,TOULÕES,-7.034459491470931,39.92606128368945
pt.ine.add.PTCONT.952680,R DO POÇO DA DEVESA,,6060-442,ROSMANINHAL,-7.089519562486403,39.726119017441015
pt.ine.add.PTCONT.952683,R DAS MADRES DOMINICANAS,1,6060-705,IDANHA-A-NOVA,-7.2404692746517565,39.925695949889906
pt.ine.add.PTCONT.952712,R DO MERCADO NOVO,2,6060-093,MONSANTO IDN,-7.116124382779294,40.04653174273693
pt.ine.add.PTCONT.952745,R DO RIBEIRO,4,6060-071,MONFORTINHO,-6.915098459755857,40.003913483560446
pt.ine.add.PTCONT.952744,R DO RIBEIRO,8,6060-071,MONFORTINHO,-6.9150378369804475,40.00402992220208
pt.ine.add.PTCONT.952746,R DO LAGAR MARIA MARTINS,47,6060-090,MONSANTO IDN,-7.102918117781978,40.03096096765114
pt.ine.add.PTCONT.952747,R D SANCHO I,29,6060-501,SALVATERRA DO EXTREMO,-6.912566750262747,39.881577379885286
pt.ine.add.PTCONT.952748,R NOVA DO CARRASCAL,4 A,6060-385,PENHA GARCIA,-7.022375971492937,40.038114986496346
pt.ine.add.PTCONT.952749,R DA MISERICÓRDIA,9,6060-069,PROENÇA-A-VELHA,-7.240619515868313,40.026618825270326
pt.ine.add.PTCONT.952750,R D SANCHO I,52,6060-501,SALVATERRA DO EXTREMO,-6.9122751987066415,39.881538286909624
pt.ine.add.PTCONT.952763,R PADRE CRUZ,26,6060-129,IDANHA-A-NOVA,-7.236309586045459,39.921755193801786
pt.ine.add.PTCONT.953453,R DO ESPÍRITO SANTO,28,6060-621,OLEDO,-7.3013230453101725,39.97373676168542
pt.ine.add.PTCONT.953455,R DE S SEBASTIÃO,9,6060-093,MONSANTO IDN,-7.117902399536918,40.04595294837071
pt.ine.add.PTCONT.953456,R ANTÓNIO CARLOS,10,6060-085,MONSANTO IDN,-7.12997328957588,40.03146853761567
pt.ine.add.PTCONT.953457,R DE S PEDRO,54,6060-085,MONSANTO IDN,-7.130123670081,40.02920035002122
pt.ine.add.PTCONT.953458,R DO ROSSIO,5,6060-621,OLEDO,-7.30069088100994,39.97374122958582
pt.ine.add.PTCONT.953459,R DIREITA,131,6060-621,OLEDO,-7.298352548365342,39.974471917075164
pt.ine.add.PTCONT.953465,EN 240,9,6060-261,LADOEIRO,-7.258977735882493,39.8352436367676
pt.ine.add.PTCONT.953467,QTA DOS CARVALHOS,,6060-131,IDANHA-A-NOVA,-7.248135275356365,39.953529534275155
pt.ine.add.PTCONT.953468,R DO PENDRICÃO,54,6060-167,IDANHA-A-NOVA,-7.241722431291898,39.92016682446329
pt.ine.add.PTCONT.953469,R PADRE CRUZ,5,6060-129,IDANHA-A-NOVA,-7.236190161789213,39.92194339864179
pt.ine.add.PTCONT.953470,R DO CASTELO,2,6060-021,ALDEIA DE SANTA MARGARIDA,-7.2769554049181355,40.06341213835325
pt.ine.add.PTCONT.953471,URB DA TAPADA DO TANQUE,22,6060-716,IDANHA-A-NOVA,-7.2401426806257,39.93192566651305
pt.ine.add.PTCONT.953472,R DA PRACINHA,39,6060-110,IDANHA-A-NOVA,-7.235530860675364,39.92047930450962
pt.ine.add.PTCONT.953473,TV DA BARRADA DE STO ANTÃO,10,6060-215,LADOEIRO,-7.263634180378365,39.834693222246734
pt.ine.add.PTCONT.953474,LG DA PRAÇA,4,6060-071,MONFORTINHO,-6.915430456271245,40.00368282093992
pt.ine.add.PTCONT.953475,LG JOAQUIM PINTO,3,6060-085,MONSANTO IDN,-7.129376241380596,40.029040777198745
pt.ine.add.PTCONT.953476,AV 1 CABO JOAQUIM MANUEL SILVESTRE,16,6060-085,MONSANTO IDN,-7.124933076392614,40.02925436781901
pt.ine.add.PTCONT.953479,R ENG ALFREDO RESENDE,65,6060-011,ALCAFOZES,-7.1226084691203315,39.95014370504779
pt.ine.add.PTCONT.953480,R DO ALENTEJO,12,6060-226,LADOEIRO,-7.26076771941002,39.832267029387545
pt.ine.add.PTCONT.953481,ESTR DE MONFORTINHO,1 A,6060-072,MONFORTINHO,-6.8876970204926655,39.99867803234412
pt.ine.add.PTCONT.953483,BR DO VALAGOTO,22,6060-072,MONFORTINHO,-6.88816459699183,39.99936749931288
pt.ine.add.PTCONT.953484,,,6060-083,MONSANTO IDN,-7.093394659541759,40.04631197995265
pt.ine.add.PTCONT.953485,LG PADRE CRISÓSTOMO,4,6060-011,ALCAFOZES,-7.119285504947902,39.94853863657264
pt.ine.add.PTCONT.953486,R DA FONTE NOVA,84,6060-177,IDANHA-A-NOVA,-7.238763568522173,39.92193625860515
pt.ine.add.PTCONT.953487,BR ELISA DA SILVA,8,6060-228,LADOEIRO,-7.260924325817681,39.82819737109862
pt.ine.add.PTCONT.953489,R DR ANTÓNIO LOPES,48,6060-011,ALCAFOZES,-7.118915894679969,39.94900371702012
pt.ine.add.PTCONT.953490,QTA DA BARROCA DA FIGUEIRA,,6060-716,IDANHA-A-NOVA,-7.21421730220081,39.84621857072783
pt.ine.add.PTCONT.953491,ESTR DE MONFORTINHO,61,6060-072,MONFORTINHO,-6.888288279566825,39.9983601753683
pt.ine.add.PTCONT.953492,ESTR DE MONFORTINHO,61,6060-072,MONFORTINHO,-6.888288279566825,39.9983601753683
pt.ine.add.PTCONT.953496,R DR PEDRO CAMACHO VIEIRA,50,6060-259,LADOEIRO,-7.2632484180361025,39.8374912790853
pt.ine.add.PTCONT.953497,R DA ESTRADA,18,6060-093,MONSANTO IDN,-7.115309715319318,40.04615534769475
pt.ine.add.PTCONT.953500,R DAS MADRES DOMINICANAS,6,6060-705,IDANHA-A-NOVA,-7.239328536493211,39.9252638742436
pt.ine.add.PTCONT.953501,R DE S PEDRO,52,6060-111,IDANHA-A-NOVA,-7.235537852762459,39.92083960364662
pt.ine.add.PTCONT.953502,R DE S JOÃO,25,6060-115,IDANHA-A-NOVA,-7.235902764961961,39.92424674224927
pt.ine.add.PTCONT.953503,TV DA SENHORA DAS DORES,9,6060-164,IDANHA-A-NOVA,-7.241704681314272,39.92153561940716
pt.ine.add.PTCONT.953504,R DA SARÇA,17,6060-091,MONSANTO IDN,-7.115652677823857,40.03806206889015
pt.ine.add.PTCONT.953505,R SERRANA,8,6060-157,IDANHA-A-NOVA,-7.240261439474661,39.920984147148026
pt.ine.add.PTCONT.953606,R DO BALUARTE,1,6060-069,PROENÇA-A-VELHA,-7.240154523845382,40.02544446711178
pt.ine.add.PTCONT.953608,R DA FONTAINHA,7,6060-069,PROENÇA-A-VELHA,-7.2416014722744615,40.02587888915163
pt.ine.add.PTCONT.953609,R PROF ANTÓNIO MARTINS ROMÃO,24,6060-582,ZEBREIRA,-7.0659208690410855,39.84343600700666
pt.ine.add.PTCONT.953613,R DO MIRANTE,14,6060-306,PENHA GARCIA,-7.016106285495901,40.042503593935876
pt.ine.add.PTCONT.953614,R DAS FIGUEIRAS,7,6060-323,PENHA GARCIA,-7.0182602300989005,40.040471009812386
pt.ine.add.PTCONT.953615,BR NOVO,19,6060-511,SÃO MIGUEL DE ACHA,-7.321227747131095,40.012874086619185
pt.ine.add.PTCONT.953616,R DO RELÓGIO,3,6060-069,PROENÇA-A-VELHA,-7.2401156548407215,40.024831761721074
pt.ine.add.PTCONT.953618,R DO CORRO,26,6060-621,OLEDO,-7.300535756838161,39.973019629665686
pt.ine.add.PTCONT.953619,R DAS CASINHAS,11,6060-390,PENHA GARCIA,-7.017617316214274,40.03750190008916
pt.ine.add.PTCONT.953620,R DO CAFÉ NOVO,17,6060-531,TOULÕES,-7.035037878210184,39.922806583296605
pt.ine.add.PTCONT.953622,R DA DEVESA,1,6060-434,ROSMANINHAL,-7.089082303304975,39.72881698965675
pt.ine.add.PTCONT.953625,R DA TAPADA,33,6060-315,PENHA GARCIA,-7.020081938381253,40.04373062625617
pt.ine.add.PTCONT.953627,R DO MURINHO,11,6060-318,PENHA GARCIA,-7.020566521876135,40.04275364456234
pt.ine.add.PTCONT.953628,TV DO MURINHO,3,6060-318,PENHA GARCIA,-7.020780913926849,40.04253956304194
