id,street,house,postcode,city,lon,lat
pt.ine.add.MAD.28801,TV S JOSE,,9200-129,MACHICO,-16.77837425268899,32.72713255203132
pt.ine.add.MAD.31237,,,9200-123,MACHICO,-16.769112083000262,32.73520031876983
pt.ine.add.MAD.31316,R RIBEIRA,,9200-133,MACHICO,-16.77254130753097,32.726232110924585
pt.ine.add.MAD.32059,SIT CERCA,,9200-031,CANIÇAL,-16.745583360755578,32.739615863917
pt.ine.add.MAD.34632,SIT PALMEIRA,,9200-039,CANIÇAL,-16.74104644712849,32.74063499472765
pt.ine.add.MAD.27237,ESTR MAROCOS,,9200-162,STO ANTÓNIO DA SERRA MCH,-16.7997826939156,32.73903855822577
pt.ine.add.MAD.27238,CAM LOMBO DO TALHO,30,9200-162,STO ANTÓNIO DA SERRA MCH,-16.80059613419247,32.73809792673093
pt.ine.add.MAD.27239,CAM LOMBO DO TALHO,,9200-162,STO ANTÓNIO DA SERRA MCH,-16.80085543399215,32.73825654075453
pt.ine.add.MAD.27240,CAM LOMBO DO TALHO,CCI 132,9200-162,STO ANTÓNIO DA SERRA MCH,-16.801387933160044,32.7382037927702
pt.ine.add.MAD.27241,CAM RIBEIRA DAS CAIS,,9200-162,STO ANTÓNIO DA SERRA MCH,-16.79919148450271,32.74041791988949
pt.ine.add.MAD.27242,CAM RIBEIRA DAS CAIS,21,9200-162,STO ANTÓNIO DA SERRA MCH,-16.79894459187457,32.73875296895878
pt.ine.add.MAD.27243,CAM RIBEIRA DAS CAIS,17,9200-162,STO ANTÓNIO DA SERRA MCH,-16.798729053625433,32.73864783619033
pt.ine.add.MAD.27244,CAM RIBEIRA DAS CAIS,9C,9200-162,STO ANTÓNIO DA SERRA MCH,-16.79890751360084,32.73850097213947
pt.ine.add.MAD.27245,CAM RIBEIRA DAS CAIS,11,9200-162,STO ANTÓNIO DA SERRA MCH,-16.79874459207393,32.73835900845885
pt.ine.add.MAD.27246,CAM RIBEIRA DAS CAIS,,9200-162,STO ANTÓNIO DA SERRA MCH,-16.79886212296896,32.73836634027546
pt.ine.add.MAD.27247,CAM RIBEIRA DAS CAIS,9,9200-162,STO ANTÓNIO DA SERRA MCH,-16.798741330774583,32.73819671512518
pt.ine.add.MAD.27248,ESTR MAROCOS,,9200-162,STO ANTÓNIO DA SERRA MCH,-16.798955237082804,32.73822070125952
pt.ine.add.MAD.27249,CAM RIBEIRA DAS CAIS,37,9200-162,STO ANTÓNIO DA SERRA MCH,-16.799323028473907,32.73846794995738
pt.ine.add.MAD.27250,CAM RIBEIRA DAS CAIS,35,9200-162,STO ANTÓNIO DA SERRA MCH,-16.799360470390827,32.738737979199854
pt.ine.add.MAD.27251,CAM LOMBO DO TALHO,CCI 403,9200-162,STO ANTÓNIO DA SERRA MCH,-16.79947453184275,32.73804188641128
pt.ine.add.MAD.27252,CAM LOMBO DO TALHO,6,9200-162,STO ANTÓNIO DA SERRA MCH,-16.79992015061203,32.736321896455365
pt.ine.add.MAD.27253,CAM ARREBENTÃO,49,9200-152,STO ANTÓNIO DA SERRA MCH,-16.821810734577383,32.72815014927348
pt.ine.add.MAD.27254,CAM ARREBENTÃO,52,9200-152,STO ANTÓNIO DA SERRA MCH,-16.82122723989266,32.727265761905464
pt.ine.add.MAD.27255,CAM ARREBENTÃO,58,9200-152,STO ANTÓNIO DA SERRA MCH,-16.820987654920792,32.72650263948578
pt.ine.add.MAD.27256,CAM ARREBENTÃO,68,9200-152,STO ANTÓNIO DA SERRA MCH,-16.820492994208692,32.72578831592506
pt.ine.add.MAD.27257,CAM ARREBENTÃO,45,9200-152,STO ANTÓNIO DA SERRA MCH,-16.822417066752525,32.728583258496606
pt.ine.add.MAD.27258,LG SANTO,10,9200-152,STO ANTÓNIO DA SERRA MCH,-16.818876761813485,32.724486006523485
pt.ine.add.MAD.27259,LG SANTO,6A,9200-152,STO ANTÓNIO DA SERRA MCH,-16.818445529645714,32.72426679173803
pt.ine.add.MAD.27260,ESTR FONTE DE SANTO ANTÓNIO QTA DO PANTANO,61,9200-152,STO ANTÓNIO DA SERRA MCH,-16.815524406061375,32.72438128829487
pt.ine.add.MAD.27261,ESTR NICOLAU TOLENTINO VIEIRA,87,9200-155,STO ANTÓNIO DA SERRA MCH,-16.831128545396872,32.73194657599475
pt.ine.add.MAD.27262,ESTR NICOLAU TOLENTINO VIEIRA,95,9200-155,STO ANTÓNIO DA SERRA MCH,-16.83079048758999,32.73159076135742
pt.ine.add.MAD.27263,ESTR NICOLAU TOLENTINO VIEIRA,103,9200-155,STO ANTÓNIO DA SERRA MCH,-16.83062363466439,32.73073640889554
pt.ine.add.MAD.27826,ER 237,33,9200-224,ÁGUA DE PENA,-16.773984469470737,32.70697421759483
pt.ine.add.MAD.27827,CAM FRANCISCO DE FREITAS BRANCO,15,9200-215,ÁGUA DE PENA,-16.772027797439673,32.705667076515425
pt.ine.add.MAD.27828,CAM FRANCISCO DE FREITAS BRANCO,13,9200-215,ÁGUA DE PENA,-16.771929143769075,32.70553318585271
pt.ine.add.MAD.27829,CAM FRANCISCO DE FREITAS BRANCO,9,9200-215,ÁGUA DE PENA,-16.77160228999901,32.70572720355649
pt.ine.add.MAD.27830,CAM FRANCISCO DE FREITAS BRANCO,D,9200-215,ÁGUA DE PENA,-16.771476099009234,32.70581917650451
pt.ine.add.MAD.27831,CAM FRANCISCO DE FREITAS BRANCO,C,9200-215,ÁGUA DE PENA,-16.771466860289802,32.70589145899813
pt.ine.add.MAD.27832,CAM FRANCISCO DE FREITAS BRANCO,B,9200-215,ÁGUA DE PENA,-16.771349373147913,32.70588409989995
pt.ine.add.MAD.27833,CAM FRANCISCO DE FREITAS BRANCO,A,9200-215,ÁGUA DE PENA,-16.771329469864618,32.705956533052124
pt.ine.add.MAD.27834,CAM CEMITÉRIO,33,9200-216,ÁGUA DE PENA,-16.77120824066691,32.70575982777996
pt.ine.add.MAD.27835,CAM CEMITÉRIO,S,9200-216,ÁGUA DE PENA,-16.770974310358923,32.70525806841499
pt.ine.add.MAD.27836,CAM CEMITÉRIO,9,9200-216,ÁGUA DE PENA,-16.771574366844906,32.705393895275556
pt.ine.add.MAD.27837,CAM CEMITÉRIO,L7,9200-216,ÁGUA DE PENA,-16.771421144843313,32.70519764222724
pt.ine.add.MAD.27838,TV ANTONIO CORREIA,6,9200-204,ÁGUA DE PENA,-16.771261357530836,32.705208918641546
pt.ine.add.MAD.27839,CAM URBANIZAÇÃO JARDIM DO SEIXO,L1A,9200-218,ÁGUA DE PENA,-16.770833511344044,32.704610689251425
pt.ine.add.MAD.27840,CAM URBANIZAÇÃO JARDIM DO SEIXO,1,9200-218,ÁGUA DE PENA,-16.770710325756774,32.70431480204572
pt.ine.add.MAD.27877,SIT FEITEIRINHAS A,,9200-038,CANIÇAL,-16.73803912691698,32.74294051427496
pt.ine.add.MAD.27841,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27842,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27843,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27844,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27845,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27846,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27847,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27848,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27849,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27850,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27851,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27852,ESTR FRANCISCO ÁLVARES DE NÓBREGA,,9200-209,ÁGUA DE PENA,-16.76640566835215,32.71214088129043
pt.ine.add.MAD.27853,R DR CONG FULGENCIO D,D3,9200-213,ÁGUA DE PENA,-16.768899929133905,32.7060900423736
pt.ine.add.MAD.27854,R DR CONG FULGENCIO D,D5,9200-213,ÁGUA DE PENA,-16.768899929133905,32.7060900423736
pt.ine.add.MAD.27855,R DR CONG FULGENCIO D,D6,9200-213,ÁGUA DE PENA,-16.768899929133905,32.7060900423736
pt.ine.add.MAD.27856,R DR CONG FULGENCIO,7,9200-213,ÁGUA DE PENA,-16.768899929133905,32.7060900423736
pt.ine.add.MAD.27857,R DR CÓNEGO FULGÊNCIO,F,9200-213,ÁGUA DE PENA,-16.76863171555277,32.70601265513339
pt.ine.add.MAD.27878,R FEITEIRINHAS,21,9200-038,CANIÇAL,-16.738016563118432,32.742877694136226
pt.ine.add.MAD.27858,R DR CÓNEGO FULGÊNCIO,F,9200-213,ÁGUA DE PENA,-16.76863171555277,32.70601265513339
pt.ine.add.MAD.27859,R DR CÓNEGO FULGÊNCIO,F,9200-213,ÁGUA DE PENA,-16.76863171555277,32.70601265513339
pt.ine.add.MAD.27860,R DR CÓNEGO FULGÊNCIO,F,9200-213,ÁGUA DE PENA,-16.76863171555277,32.70601265513339
pt.ine.add.MAD.27861,R DR CÓNEGO FULGÊNCIO,F,9200-213,ÁGUA DE PENA,-16.76863171555277,32.70601265513339
pt.ine.add.MAD.27862,R DR CÓNEGO FULGÊNCIO,F,9200-213,ÁGUA DE PENA,-16.76863171555277,32.70601265513339
pt.ine.add.MAD.27863,R DR CÓNEGO FULGENCIO,G,9200-213,ÁGUA DE PENA,-16.76839958770204,32.70614219537613
pt.ine.add.MAD.27864,R DR CÓNEGO FULGENCIO,G,9200-213,ÁGUA DE PENA,-16.76839958770204,32.70614219537613
pt.ine.add.MAD.27865,R FEITEIRINHAS B,56,9200-038,CANIÇAL,-16.739919930660914,32.74471821497622
pt.ine.add.MAD.27866,R FEITEIRINHAS B,50,9200-038,CANIÇAL,-16.739996193224638,32.74479832707551
pt.ine.add.MAD.27867,R FEITEIRINHAS B,60,9200-038,CANIÇAL,-16.74006091006348,32.74483350441919
pt.ine.add.MAD.27868,R FEITEIRINHAS B,29,9200-038,CANIÇAL,-16.74012562695229,32.74486868172754
pt.ine.add.MAD.27869,R PALMEIRA,4,9200-038,CANIÇAL,-16.740436087857628,32.744918483938335
pt.ine.add.MAD.27870,R PALMEIRA,6,9200-038,CANIÇAL,-16.74045882927627,32.74499032011808
pt.ine.add.MAD.27871,R FEITEIRINHAS A,18,9200-038,CANIÇAL,-16.738752918732963,32.743426657523194
pt.ine.add.MAD.27872,R FEITEIRINHAS A,12,9200-038,CANIÇAL,-16.738558422631638,32.74330309001635
pt.ine.add.MAD.27873,R FEITEIRINHAS A,8,9200-038,CANIÇAL,-16.738439661466824,32.74323258559409
pt.ine.add.MAD.27874,R FEITEIRINHAS A,4,9200-038,CANIÇAL,-16.73826808048602,32.743189870824565
pt.ine.add.MAD.27875,R FEITEIRINHAS A,19,9200-038,CANIÇAL,-16.738213509240964,32.7431274947321
pt.ine.add.MAD.27876,R FEITEIRINHAS A,,9200-038,CANIÇAL,-16.73807568682929,32.74317450154176
pt.ine.add.MAD.27879,R FEITEIRINHAS,23,9200-038,CANIÇAL,-16.737906370924215,32.7426988421558
pt.ine.add.MAD.27880,R FEITEIRINHAS,11,9200-038,CANIÇAL,-16.73782713572369,32.74246544665436
pt.ine.add.MAD.27881,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.737795963202938,32.740310333962015
pt.ine.add.MAD.27882,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.73770693723116,32.740122169123005
pt.ine.add.MAD.27883,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.738091711347195,32.74015290898416
pt.ine.add.MAD.27884,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.738001120358923,32.740433754995884
pt.ine.add.MAD.27885,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.737998669228926,32.74030752274402
pt.ine.add.MAD.27886,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.73764466649352,32.73966306264001
pt.ine.add.MAD.27887,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.738253655647416,32.73969971183066
pt.ine.add.MAD.27888,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.738007050826365,32.73963999915286
pt.ine.add.MAD.27889,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.73787815160889,32.739596691718255
pt.ine.add.MAD.27890,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.73796175011941,32.73950534214651
pt.ine.add.MAD.27891,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.737936386270537,32.73929825647146
pt.ine.add.MAD.27892,R PALMEIRA,22,9200-032,CANIÇAL,-16.737911372687932,32.739109203964105
pt.ine.add.MAD.27893,R PALMEIRA,24,9200-032,CANIÇAL,-16.73788845994987,32.739028350546384
pt.ine.add.MAD.27894,R PALMEIRA,,9200-032,CANIÇAL,-16.737887234528372,32.73896523440286
pt.ine.add.MAD.27895,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.737782464905315,32.7385157363004
pt.ine.add.MAD.27896,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.737887574642546,32.73843310750181
pt.ine.add.MAD.27897,R PALMEIRA,20,9200-032,CANIÇAL,-16.73801210616252,32.73880116025919
pt.ine.add.MAD.27898,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.73852069440874,32.73861372522328
pt.ine.add.MAD.27899,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.738649942737027,32.738675065218
pt.ine.add.MAD.27900,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.738833409735367,32.73878074786214
pt.ine.add.MAD.27901,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.73887871132095,32.7389154045363
pt.ine.add.MAD.27902,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.738728475659745,32.73887239402236
pt.ine.add.MAD.27903,SIT BANDA SILVA,,9200-031,CANIÇAL,-16.73877761490733,32.7386552557799
pt.ine.add.MAD.27904,R IGREJA NOVA,40,9200-032,CANIÇAL,-16.735943105897036,32.73831575383511
pt.ine.add.MAD.27905,R IGREJA NOVA,42,9200-032,CANIÇAL,-16.735795495176127,32.73840798875881
pt.ine.add.MAD.27906,R IGREJA NOVA,46,9200-032,CANIÇAL,-16.735465470156417,32.73844863568376
pt.ine.add.MAD.27907,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.735072489643194,32.73799410696427
pt.ine.add.MAD.27908,R BAIXINHA,2,9200-032,CANIÇAL,-16.736096663209665,32.737979922700944
pt.ine.add.MAD.27909,R BAIXINHA,6,9200-032,CANIÇAL,-16.73603579999404,32.73814310830118
pt.ine.add.MAD.27910,SIT BANDA D ALEM,,9200-032,CANIÇAL,-16.735635467313138,32.73841020524232
pt.ine.add.MAD.27911,R IGREJA NOVA,42,9200-032,CANIÇAL,-16.735814908903052,32.73830851058174
pt.ine.add.MAD.27912,VR BARREIRO,12,9200-124,MACHICO,-16.780421876256053,32.73942335584275
pt.ine.add.MAD.27913,VR BARREIRO,13,9200-124,MACHICO,-16.780099134856822,32.73929265686806
pt.ine.add.MAD.27914,VR BARREIRO,9,9200-124,MACHICO,-16.779940722897713,32.73937607745102
pt.ine.add.MAD.27915,VR LOMBO DO CHEQUE,8,9200-083,MACHICO,-16.779779533016324,32.73878311717678
pt.ine.add.MAD.27916,VR LOMBO NOIA RIBEIRA SECA,,9200-083,MACHICO,-16.77963815595965,32.73864984097504
pt.ine.add.MAD.27917,ESTR RIBEIRA SECA,276,9200-136,MACHICO,-16.77958902464579,32.73939911033545
pt.ine.add.MAD.27918,ESTR RIBEIRA SECA,278,9200-136,MACHICO,-16.779617803051227,32.73923636081634
pt.ine.add.MAD.27919,ESTR RIBEIRA SECA,286,9200-136,MACHICO,-16.779480640886266,32.73877834291195
pt.ine.add.MAD.27920,SIT NOIA RIBEIRA SECA,,9200-124,MACHICO,-16.77952179348857,32.73816447086695
pt.ine.add.MAD.27921,ESTR NOVA DA RIBEIRA SECA,292,9200-124,MACHICO,-16.779498306067698,32.738056577152975
pt.ine.add.MAD.27922,CAM CALÇADA,4,9200-083,MACHICO,-16.779595667241498,32.73758620985247
pt.ine.add.MAD.27923,ESTR RIBEIRA SECA,314,9200-136,MACHICO,-16.779616378939252,32.73701772266052
pt.ine.add.MAD.27924,R MANUEL PASSOS,C,9200-134,MACHICO,-16.775109736822024,32.729848440388864
pt.ine.add.MAD.27925,R MANUEL PASSOS,C,9200-134,MACHICO,-16.775109736822024,32.729848440388864
pt.ine.add.MAD.27926,R MANUEL PASSOS,C,9200-134,MACHICO,-16.775109736822024,32.729848440388864
pt.ine.add.MAD.27927,R MANUEL PASSOS,,9200-134,MACHICO,-16.775239531753634,32.72993679156539
pt.ine.add.MAD.27928,R MANUEL PASSOS,,9200-134,MACHICO,-16.775239531753634,32.72993679156539
pt.ine.add.MAD.27929,R MANUEL PASSOS,,9200-134,MACHICO,-16.775239531753634,32.72993679156539
pt.ine.add.MAD.27930,R MANUEL PASSOS,,9200-134,MACHICO,-16.775239531753634,32.72993679156539
pt.ine.add.MAD.27931,R MANUEL PASSOS,,9200-134,MACHICO,-16.775239531753634,32.72993679156539
pt.ine.add.MAD.27932,R MANUEL PASSOS,,9200-134,MACHICO,-16.775239531753634,32.72993679156539
pt.ine.add.MAD.27933,R MANUEL PASSOS,,9200-134,MACHICO,-16.775239531753634,32.72993679156539
pt.ine.add.MAD.27934,R MANUEL PASSOS,,9200-134,MACHICO,-16.775239531753634,32.72993679156539
pt.ine.add.MAD.27935,R MANUEL PASSOS,,9200-134,MACHICO,-16.775239531753634,32.72993679156539
pt.ine.add.MAD.27936,R MANUEL PASSOS,,9200-134,MACHICO,-16.775239531753634,32.72993679156539
pt.ine.add.MAD.27937,ESTR RIBEIRA SECA,180,9200-124,MACHICO,-16.77615549778281,32.74168452056017
pt.ine.add.MAD.27938,ESTR RIBEIRA SECA,,9200-124,MACHICO,-16.776169387277346,32.741846664584685
pt.ine.add.MAD.27939,SIT RIBEIRA GRANDE,,9200-123,MACHICO,-16.79225551930862,32.73617921807669
pt.ine.add.MAD.27940,SIT RIBEIRA GRANDE CCI,CCI 603,9200-123,MACHICO,-16.791616504656897,32.73677458477454
pt.ine.add.MAD.27941,SIT RIBEIRA GRANDE,,9200-123,MACHICO,-16.79253360771951,32.73621131631596
pt.ine.add.MAD.27942,SIT RIBEIRA GRANDE,,9200-123,MACHICO,-16.79260647775689,32.73612008485216
pt.ine.add.MAD.27943,SIT RIBEIRA GRANDE,118,9200-123,MACHICO,-16.792188804080553,32.73604488849183
pt.ine.add.MAD.27944,SIT RIBEIRA GRANDE,,9200-123,MACHICO,-16.792053749819527,32.73569508218867
pt.ine.add.MAD.27945,SIT RIBEIRA GRANDE,,9200-123,MACHICO,-16.791942739524227,32.7354802156221
pt.ine.add.MAD.27946,SIT RIBEIRA GRANDE,10,9200-123,MACHICO,-16.792924542703034,32.735484210876436
pt.ine.add.MAD.27947,SIT RIBEIRA GRANDE,12,9200-123,MACHICO,-16.793083657421814,32.73543683979775
pt.ine.add.MAD.27948,SIT RIBEIRA GRANDE,,9200-137,MACHICO,-16.793013136045595,32.73564528378366
pt.ine.add.MAD.27949,ESTR LEVADA ROCHA,,9200-123,MACHICO,-16.793715941430214,32.736104209768015
pt.ine.add.MAD.27950,VR LOMBINHO,114,9200-123,MACHICO,-16.793277111875028,32.73603833877391
pt.ine.add.MAD.27951,ESTR LEVADA ROCHA,1,9200-123,MACHICO,-16.79338523600338,32.73610894279075
pt.ine.add.MAD.27952,VR LOMBINHO,,9200-123,MACHICO,-16.79346334353337,32.73627918430373
pt.ine.add.MAD.27953,ESTR LEVADA DA ROCHA,16,9200-137,MACHICO,-16.793612875311315,32.73628606313928
pt.ine.add.MAD.27954,CAM LOMBADA,,9200-112,MACHICO,-16.79169387730934,32.73264281497701
pt.ine.add.MAD.27955,CAM LOMBADA,21,9200-112,MACHICO,-16.78948519437806,32.732115198210174
pt.ine.add.MAD.27956,CAM LAGES,,9200-421,MACHICO,-16.788946236249735,32.731843305897335
pt.ine.add.MAD.27957,VR MURTINHAL,,9200-115,MACHICO,-16.788026539695988,32.73120706762271
pt.ine.add.MAD.27958,CAM LANDEIROS,,9200-082,MACHICO,-16.792430331989436,32.73158608975099
pt.ine.add.MAD.27959,SIT LANDEIROS,,9200-082,MACHICO,-16.793217731881345,32.73147561784914
pt.ine.add.MAD.27960,SIT LANDEIROS,CCI 201,9200-082,MACHICO,-16.793481514789423,32.73185965672193
pt.ine.add.MAD.27961,CAM LANDEIROS,,9200-082,MACHICO,-16.791751091304814,32.73070292921574
pt.ine.add.MAD.27962,CAM LANDEIROS,54,9200-082,MACHICO,-16.791804630009942,32.730179066351916
pt.ine.add.MAD.27963,ESTR D MANUEL I,CCI 212,9200-082,MACHICO,-16.794079628517462,32.73082293967326
pt.ine.add.MAD.27964,ESTR D MANUEL I,234,9200-143,MACHICO,-16.796718276103583,32.7331029995603
pt.ine.add.MAD.27965,VR COVA,,9200-082,MACHICO,-16.79643133796531,32.733161226374385
pt.ine.add.MAD.27966,R D MANUEL I,148,9200-127,MACHICO,-16.78389303995538,32.72832579679558
pt.ine.add.MAD.27967,R D MANUEL I,146,9200-127,MACHICO,-16.783752103923245,32.72767843889604
pt.ine.add.MAD.27968,CAM S CRISTÓVÃO,3,9200-420,MACHICO,-16.783247883433546,32.72754131074295
pt.ine.add.MAD.27969,CAM S CRISTÓVÃO,7,9200-420,MACHICO,-16.78332488637312,32.727657461398216
pt.ine.add.MAD.27970,CAM S CRISTÓVÃO,9,9200-420,MACHICO,-16.783579205886692,32.72810478968069
pt.ine.add.MAD.27971,ESTR D MANUEL I,141,9200-142,MACHICO,-16.784215925753514,32.72846550377172
pt.ine.add.MAD.27972,R PADRE EDUARDO FREITAS DO NASCIMENTO,12 B,9200-073,MACHICO,-16.784402968629667,32.727678193195075
pt.ine.add.MAD.27973,R PADRE EDUARDO FREITAS DO NASCIMENTO,12A,9200-073,MACHICO,-16.7843353736472,32.72749877671262
pt.ine.add.MAD.27974,R PADRE EDUARDO FREITAS DO NASCIMENTO,6,9200-073,MACHICO,-16.783978694232744,32.727269361547314
pt.ine.add.MAD.27975,R PADRE EDUARDO FREITAS DO NASCIMENTO,14,9200-073,MACHICO,-16.7844323410879,32.727010373407246
pt.ine.add.MAD.27976,R PADRE EDUARDO FREITAS NASCIMENTO,19,9200-073,MACHICO,-16.784326997149474,32.726542888184284
pt.ine.add.MAD.27977,R PADRE EDUARDO FREITAS DO NASCIMENTO,3,9200-073,MACHICO,-16.783602837815675,32.72714844553189
pt.ine.add.MAD.27978,SIT PARAISO,,9200-072,MACHICO,-16.769982174640845,32.72685450900836
pt.ine.add.MAD.27979,R JOÃO PAULO II,103,9200-117,MACHICO,-16.769542513401067,32.72674347034207
pt.ine.add.MAD.27980,CAM NOVO PARAISO,16,9200-146,MACHICO,-16.77009006550754,32.7263749799062
pt.ine.add.MAD.27981,R FRANCISCO ÁLVARES DE NOBREGA,7,9200-075,MACHICO,-16.775449898325807,32.72870723361059
pt.ine.add.MAD.27982,R RIBEIRA,91,9200-133,MACHICO,-16.77475242385518,32.72850967583682
pt.ine.add.MAD.27983,R RIBEIRA,87,9200-133,MACHICO,-16.774486103139953,32.728531484599756
pt.ine.add.MAD.27984,R RIBEIRA,85,9200-133,MACHICO,-16.774366978134818,32.72844298151419
pt.ine.add.MAD.27985,R RIBEIRA,79,9200-133,MACHICO,-16.774279497377655,32.72833599242808
pt.ine.add.MAD.27986,R ROBERT MACHIM,72,9200-129,MACHICO,-16.77423016752296,32.72746185154572
pt.ine.add.MAD.27987,VR TORRE E,N 4,9200-129,MACHICO,-16.77441454372457,32.727612563773036
pt.ine.add.MAD.27988,VR TORRE B,22,9200-129,MACHICO,-16.77517535505516,32.72831428825367
pt.ine.add.MAD.27989,VR TORRE B,20,9200-129,MACHICO,-16.775268677650033,32.72817768207714
pt.ine.add.MAD.27990,VR TORRE B,9,9200-129,MACHICO,-16.77476553785355,32.72809461801711
pt.ine.add.MAD.27991,VR TORRE B,9,9200-129,MACHICO,-16.774732821854094,32.72805900543666
pt.ine.add.MAD.27992,SIT SERRA D AGUA,,9200-127,MACHICO,-16.77420566937681,32.7278409947018
pt.ine.add.MAD.27993,R TORRE,67,9200-401,MACHICO,-16.773518769329897,32.724405471817946
pt.ine.add.MAD.27994,R TORRE,57,9200-401,MACHICO,-16.77323447442479,32.724057754339576
pt.ine.add.MAD.27995,R TORRE,55,9200-120,MACHICO,-16.77333667724452,32.72383083424167
pt.ine.add.MAD.27996,,,9200-120,MACHICO,-16.773229118938538,32.723787261062014
pt.ine.add.MAD.27997,R TORRE,65,9200-401,MACHICO,-16.773514305644937,32.72418006080145
pt.ine.add.MAD.27998,SIT SITIO DO PIQUINHO,,9200-120,MACHICO,-16.77344602102835,32.72396457174056
pt.ine.add.MAD.27999,R TORRE,49,9200-401,MACHICO,-16.772951252681867,32.72376413478719
pt.ine.add.MAD.28000,R TORRE,47,9200-401,MACHICO,-16.77276653014323,32.72359538707048
pt.ine.add.MAD.28001,R TENDA LEIRO,30,9200-132,MACHICO,-16.77301913591846,32.723420453765534
pt.ine.add.MAD.28002,R TENDA LEIRO,32,9200-132,MACHICO,-16.773042253908592,32.723510316446955
pt.ine.add.MAD.28003,R TENDA DO LEIRO,40,9200-132,MACHICO,-16.773550319563245,32.72330471136688
pt.ine.add.MAD.28004,R 8 DE MAIO,,9200-142,MACHICO,-16.773758518749634,32.72358135330978
pt.ine.add.MAD.28005,R 8 MAIO,36,9200-142,MACHICO,-16.77438235823874,32.72383407378241
pt.ine.add.MAD.28006,ESTR TRISTAO VAZ TEIXEIRA,21,9200-132,MACHICO,-16.770364540807485,32.72244784999332
pt.ine.add.MAD.28007,ESTR TRISTAO VAZ TEIXEIRA,9,9200-132,MACHICO,-16.770296239135746,32.721691220626894
pt.ine.add.MAD.28008,R TORRE,2,9200-400,MACHICO,-16.770357920398084,32.72157310278815
pt.ine.add.MAD.28009,ESTR TRISTAO VAZ TEIXEIRA,13,9200-132,MACHICO,-16.770532502561398,32.72176905444486
pt.ine.add.MAD.28010,VR MOINHOS,20,9200-127,MACHICO,-16.770730022490152,32.722045852589254
pt.ine.add.MAD.28011,VR LEVADA DOS MOINHOS,,9200-127,MACHICO,-16.77135227101751,32.722758578736794
pt.ine.add.MAD.28012,VR LEVADA MOINHOS,6,9200-127,MACHICO,-16.771225165067058,32.722805469758875
pt.ine.add.MAD.28013,VR LEVADA DOS MOINHOS,,9200-127,MACHICO,-16.77142372634442,32.72259522741351
pt.ine.add.MAD.28014,VR LEVADA DOS MOINHOS,,9200-127,MACHICO,-16.771366860536848,32.722956789972834
pt.ine.add.MAD.28015,CAM LEVADA MOINHOS,9,9200-132,MACHICO,-16.77086963615872,32.723171252075055
pt.ine.add.MAD.28016,SIT SITIO SERRA D AGUA,,9200-127,MACHICO,-16.77087584583142,32.72294568999601
